Response ID,Gender,Industry,Year,Occupation,Policy,HowmuchWork,WhichDays,AllowRemote,Encouraged,WellPrepared,Common,Permission,Collaborate
1,Male,Other Services,1976,Professionals - ICT Professionals,4,4,4,4,4,4,5,4,4
2,Male,Construction,1971,Professionals - ICT Professionals,3,3,3,4,3,3,3,3,3
3,Female,Financial and Insurance,1978,"Professionals - Business, Human Resource and Marketing Professionals",5,3,1,3,5,5,5,5,5
4,Female,Health Care and Social Assistance,1962,Professionals - Health Professionals,4,4,4,4,3,3,4,3,3
5,Male,Financial and Insurance,1974,Managers - Specialist Managers,5,4,5,4,4,5,4,4,5
6,Male,Manufacturing,1985,Technicians and trades workers - Construction Trades Workers,4,4,3,4,3,3,2,3,3
7,Male,Public Administration and Safety,1973,Managers - Specialist Managers,4,4,4,4,4,4,4,4,4
8,Female,Administrative and Support,1992,Clerical and administrative workers - General Clerical Workers,4,4,3,4,4,4,4,4,4
9,Female,Administrative and Support,1970,Clerical and administrative workers - General Clerical Workers,5,5,4,5,3,4,4,4,3
10,Female,Other Services,1981,Professionals - ICT Professionals,5,4,4,4,3,5,5,4,5
11,Female,"Electricity, Gas, Water and Waste",1980,Professionals - ICT Professionals,5,5,5,2,4,4,4,4,4
12,Male,Construction,1959,Machinery operators and drivers - Mobile Plant Operators,3,2,2,2,2,3,2,3,3
13,Female,Other Services,1992,Professionals - ICT Professionals,5,5,5,5,5,5,5,5,5
14,Female,Administrative and Support,1968,Clerical and administrative workers - General Clerical Workers,1,1,1,1,1,4,5,1,2
15,Male,"Professional, Scientific and Technical",1976,Professionals - Health Professionals,4,4,5,4,4,4,5,4,4
16,Male,Education and Training,1973,Professionals - Education Professionals,2,2,2,2,4,2,4,4,2
17,Female,Retail Trade,1972,"Managers - Hospitality, Retail and Service Managers",3,3,4,3,4,4,4,4,4
18,Female,Administrative and Support,1977,"Managers - Chief Executives, General Managers and Legislators",5,3,4,4,5,5,5,5,5
19,Male,Construction,1978,Managers - Specialist Managers,5,4,4,5,3,5,4,5,5
20,Female,Retail Trade,1995,Sales workers - Sales Support Workers,4,2,2,4,4,4,5,4,4
21,Female,Construction,1980,Community and personal service workers - Hospitality Workers,4,4,4,4,5,4,5,4,4
22,Male,Accommodation and Food,1978,Managers - Specialist Managers,4,4,4,5,4,4,5,5,5
23,Male,Wholesale Trade,1976,Managers - Specialist Managers,3,4,4,3,3,2,3,3,4
24,Male,Wholesale Trade,1961,Managers - Specialist Managers,5,5,5,5,2,1,3,5,5
25,Female,Education and Training,1965,Clerical and administrative workers - General Clerical Workers,5,5,5,5,5,5,5,5,5
26,Male,Wholesale Trade,1959,Managers - Specialist Managers,5,5,5,5,3,4,4,3,4
27,Female,Wholesale Trade,1964,Clerical and administrative workers - General Clerical Workers,5,3,5,3,5,5,5,5,5
28,Male,Wholesale Trade,1989,"Managers - Chief Executives, General Managers and Legislators",4,4,4,3,4,4,4,4,4
29,Female,Financial and Insurance,1975,Clerical and administrative workers - Clerical and Office Support Workers,5,5,5,5,5,5,5,5,5
30,Female,Financial and Insurance,1987,Professionals - ICT Professionals,4,5,5,5,5,5,4,4,4
31,Female,Other Services,1975,Technicians and trades workers - Skilled Animal and Horticultural Workers,3,3,2,3,3,4,4,4,4
32,Female,Information Media and Telecommunications,1979,Professionals - ICT Professionals,5,5,5,1,4,5,5,4,5
33,Female,Construction,1983,Professionals - Education Professionals,3,4,5,3,3,3,3,4,4
34,I would rather not say,"Professional, Scientific and Technical",1974,Professionals - ICT Professionals,5,5,5,5,3,5,4,4,4
35,Male,"Rental, Hiring and Real Estate",1967,"Managers - Chief Executives, General Managers and Legislators",4,3,3,4,3,3,2,4,2
36,Male,Manufacturing,1967,"Managers - Chief Executives, General Managers and Legislators",4,4,4,5,4,4,4,5,4
37,Male,Other Services,1960,Managers - Specialist Managers,3,5,5,2,2,4,2,4,5
38,Male,"Transport, Postal and Warehousing",1982,"Managers - Chief Executives, General Managers and Legislators",4,4,4,4,4,1,4,4,4
39,Male,"Agriculture, Forestry and Fishing",1979,"Managers - Chief Executives, General Managers and Legislators",3,4,5,4,4,5,4,5,5
40,Female,Retail Trade,1962,"Professionals - Design, Engineering, Science and Transport Professionals",4,5,4,5,4,5,5,4,5
41,Male,"Professional, Scientific and Technical",1961,"Professionals - Legal, Social and Welfare Professionals",5,4,4,5,3,4,4,5,4
42,Male,"Professional, Scientific and Technical",1983,Professionals - Health Professionals,5,5,5,1,5,5,5,5,5
43,Male,Construction,1965,"Professionals - Design, Engineering, Science and Transport Professionals",3,3,3,4,2,4,3,4,4
44,Female,Information Media and Telecommunications,1981,Professionals - ICT Professionals,4,4,4,4,3,2,4,2,2
45,Female,"Professional, Scientific and Technical",1966,"Professionals - Design, Engineering, Science and Transport Professionals",4,4,4,4,4,4,4,4,2
46,Female,Wholesale Trade,1974,Clerical and administrative workers - Office Managers and Program Administrators,4,2,4,4,3,2,2,3,4
47,Male,Financial and Insurance,1978,"Professionals - Business, Human Resource and Marketing Professionals",4,3,3,4,4,4,3,4,4
48,Female,"Rental, Hiring and Real Estate",1987,"Managers - Chief Executives, General Managers and Legislators",4,4,3,4,3,4,4,4,4
49,Male,Manufacturing,1984,Professionals - ICT Professionals,5,5,5,5,4,5,4,4,4
50,Male,Financial and Insurance,1983,"Professionals - Business, Human Resource and Marketing Professionals",4,4,5,4,4,4,4,4,4
51,Male,Retail Trade,1971,"Managers - Chief Executives, General Managers and Legislators",4,2,3,3,3,4,4,3,4
52,Male,Information Media and Telecommunications,1980,Professionals - ICT Professionals,3,3,3,3,3,3,3,3,3
53,Male,Financial and Insurance,1981,Professionals - ICT Professionals,4,3,4,3,3,4,4,3,3
54,Female,Arts and Recreation,1977,Professionals - Arts and Media Professionals,5,5,5,3,5,5,5,5,5
55,Male,Information Media and Telecommunications,1981,"Managers - Chief Executives, General Managers and Legislators",4,4,5,5,4,5,5,4,5
56,Male,Information Media and Telecommunications,1962,Professionals - ICT Professionals,5,5,5,2,3,5,4,5,5
57,Male,Information Media and Telecommunications,1978,Professionals - ICT Professionals,4,5,5,5,5,4,5,5,5
58,Female,Retail Trade,1980,Managers - Specialist Managers,5,3,4,4,5,4,3,5,4
59,Male,Retail Trade,1987,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,3,4,4,4,3,4,3,4,4
60,Male,Information Media and Telecommunications,1972,Professionals - ICT Professionals,4,2,2,3,4,5,5,5,4
61,Male,Administrative and Support,1985,"Managers - Chief Executives, General Managers and Legislators",5,5,5,3,4,5,4,4,4
62,Male,Other Services,1964,Managers - Specialist Managers,5,5,5,5,5,5,5,5,5
63,Female,Retail Trade,1961,"Managers - Hospitality, Retail and Service Managers",5,5,5,3,5,5,5,5,5
64,Male,"Professional, Scientific and Technical",1963,"Professionals - Design, Engineering, Science and Transport Professionals",5,3,4,1,4,4,3,3,2
65,Male,Financial and Insurance,1992,"Professionals - Business, Human Resource and Marketing Professionals",4,4,4,4,3,5,4,4,4
66,Male,"Professional, Scientific and Technical",1981,"Professionals - Design, Engineering, Science and Transport Professionals",3,2,2,4,2,3,2,2,2
67,Male,"Rental, Hiring and Real Estate",1961,"Managers - Chief Executives, General Managers and Legislators",3,4,4,3,3,4,4,4,3
68,Female,Other Services,1990,"Professionals - Design, Engineering, Science and Transport Professionals",4,3,3,5,5,4,4,4,4
69,Female,Public Administration and Safety,1995,Professionals - Education Professionals,4,3,2,4,2,2,1,1,2
70,Female,Health Care and Social Assistance,1974,Professionals - Health Professionals,4,4,4,4,5,5,5,5,5
71,Male,"Agriculture, Forestry and Fishing",1961,Technicians and trades workers - Skilled Animal and Horticultural Workers,4,4,4,3,4,3,4,4,4
72,Female,Education and Training,1968,Professionals - Education Professionals,5,1,1,5,1,1,3,1,3
73,Male,Retail Trade,1980,"Managers - Hospitality, Retail and Service Managers",3,4,4,4,3,3,3,4,5
74,Male,Public Administration and Safety,1981,Clerical and administrative workers - Personal Assistants and Secretaries,5,5,5,4,5,5,5,5,4
75,Female,Health Care and Social Assistance,1985,"Professionals - Legal, Social and Welfare Professionals",1,1,2,4,2,4,1,1,5
76,Male,Financial and Insurance,1981,Managers - Specialist Managers,5,5,5,5,4,4,5,4,4
77,Male,Public Administration and Safety,1977,Professionals - ICT Professionals,4,3,3,3,4,3,3,3,3
78,Male,"Professional, Scientific and Technical",1971,Managers - Specialist Managers,5,5,5,5,4,4,4,4,4
79,Female,Health Care and Social Assistance,1978,Clerical and administrative workers - Office Managers and Program Administrators,5,1,5,3,4,5,2,5,5
80,Female,Health Care and Social Assistance,1957,Community and personal service workers - Health and Welfare Support Workers,3,4,4,2,2,2,1,2,1
81,Female,Financial and Insurance,1978,Professionals - Health Professionals,3,3,3,3,3,3,3,3,3
