Response ID,What is your gender?  ,Which of the following best describes your industry?  ,Which of the following best describes your current occupation?  ,"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? My employer’s remote working policy suits me","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? I get to choose how much work I do remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? I choose which days I work remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? My direct manager has discretion to allow or deny remote work","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? My organization encouraged people to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? My organization was well prepared for me to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? It was common for people in my organization to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? t was easy to get permission to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? I could easily collaborate with colleagues when working remotely","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Preparing for work and commuting","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Working","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Caring and domestic responsibilities","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Personal and family time","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Sleep","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Preparing for work and commuting","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Working","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Caring and domestic responsibilities","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Personal and family time","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Sleep"
1,Male,Other Services,Professionals - ICT Professionals,4,4,4,4,4,4,5,4,4,2,6,1,7,8,0,8,1,7,8
2,Male,Construction,Professionals - ICT Professionals,3,3,3,4,3,3,3,3,3,1.5,8,2,6,6.5,0,10,4,4,6
3,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",5,3,1,3,5,5,5,5,5,3,8,1,4,8,1,8,2,5,8
4,Female,Health Care and Social Assistance,Professionals - Health Professionals,4,4,4,4,3,3,4,3,3,1,8,6,3,6,1,8,4,4,7
5,Male,Financial and Insurance,Managers - Specialist Managers,5,4,5,4,4,5,4,4,5,5,8,2,3,6,,9,3,4,8
6,Male,Manufacturing,Technicians and trades workers - Construction Trades Workers,4,4,3,4,3,3,2,3,3,3,8,2,3,8,2,8,4,2,8
7,Male,Public Administration and Safety,Managers - Specialist Managers,4,4,4,4,4,4,4,4,4,2,8,3,3,8,1,8,3,4,8
8,Female,Administrative and Support,Clerical and administrative workers - General Clerical Workers,4,4,3,4,4,4,4,4,4,1.5,8.5,0.5,5.5,8,0.5,9,0.5,5,9
9,Female,Administrative and Support,Clerical and administrative workers - General Clerical Workers,5,5,4,5,3,4,4,4,3,1,8,5,2,8,1,7,5,3,8
10,Female,Other Services,Professionals - ICT Professionals,5,4,4,4,3,5,5,4,5,1.5,8,0,7.5,7,0.5,8,0,8.5,7
11,Female,"Electricity, Gas, Water and Waste",Professionals - ICT Professionals,5,5,5,2,4,4,4,4,4,2,8,2,4,8,0,8,4,4,8
12,Male,Construction,Machinery operators and drivers - Mobile Plant Operators,3,2,2,2,2,3,2,3,3,1,8,3,4,8,1,8,3,4,8
13,Female,Other Services,Professionals - ICT Professionals,5,5,5,5,5,5,5,5,5,3,8,2,3,8,0,12,2,2,8
